Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time,Duration,Executed,
0,count at GraphLoader.scala:93,,1200,1441208194065,1441208322962,128897,True,
3,mapPartitions at VertexRDD.scala:358,,1200,1441208323375,1441208421063,97688,True,
2,mapPartitions at VertexRDDImpl.scala:247,1,1200,1441208421161,1441208503090,81929,True,
4,mapPartitions at VertexRDDImpl.scala:247,3,1200,1441208421200,1441208536808,115608,True,
5,mapPartitions at GraphImpl.scala:235,2 4,1200,1441208536905,1441208800901,263996,True,
6,reduce at VertexRDDImpl.scala:90,5 3,1200,1441208800932,1441208843316,42384,True,
12,mapPartitions at VertexRDDImpl.scala:247,9 11,1200,1441208844109,1441208944361,100252,True,
17,mapPartitions at VertexRDDImpl.scala:251,16 14,1200,1441208844135,1441208965050,120915,True,
18,mapPartitions at GraphImpl.scala:235,15 12 13 17,1200,1441208965105,1441209735219,770114,True,
19,reduce at VertexRDDImpl.scala:90,16 18 14,1200,1441209735243,1441209810035,74792,True,
32,mapPartitions at VertexRDDImpl.scala:247,27 31 29,1200,1441209811595,1441209865002,53407,True,
40,mapPartitions at VertexRDDImpl.scala:251,37 35 39,1200,1441209811622,1441209887719,76097,True,
41,mapPartitions at GraphImpl.scala:235,33 34 32 36 40,1200,1441209887752,1441210313488,425736,True,
42,reduce at VertexRDDImpl.scala:90,37 35 39 41,1200,1441210313512,1441210360768,47256,True,
65,mapPartitions at VertexRDDImpl.scala:247,60 64 58 62,1200,1441210363086,1441210415970,52884,True,
76,mapPartitions at VertexRDDImpl.scala:251,71 75 69 73,1200,1441210363107,1441210439221,76114,True,
77,mapPartitions at GraphImpl.scala:235,66 70 67 68 76 65,1200,1441210439252,1441210784709,345457,True,
78,reduce at VertexRDDImpl.scala:90,71 75 69 73 77,1200,1441210784733,1441210811463,26730,True,
114,mapPartitions at VertexRDDImpl.scala:247,107 111 105 109 113,1200,1441210814710,1441210854810,40100,True,
128,mapPartitions at VertexRDDImpl.scala:251,121 125 119 123 127,1200,1441210814728,1441210873382,58654,True,
129,mapPartitions at GraphImpl.scala:235,117 114 118 115 120 116 128,1200,1441210873415,1441210985191,111776,True,
130,reduce at VertexRDDImpl.scala:90,129 121 125 119 123 127,1200,1441210985210,1441211005834,20624,True,
31,mapPartitions at GraphImpl.scala:235,30 28 25 26,1200,0,0,0,False,
33,mapPartitions at VertexRDDImpl.scala:247,27 29,1200,0,0,0,False,
