Stage ID,RDD ID,Name,Scope,Parent IDs,Use ExternalBlockStore,Deserialized,Use Memory,Use Disk,Replication,Number of Partitions,ExternalBlockStore Size,RddID,Memory Size,Number of Cached Partitions,Use Memory,Use Disk,Disk Size,Memory,Disk,
40,35,VertexRDD,50 zipPartitions ,16 33,false,true,true,true,1,1200,0,35,4704943168,2821,true,true,3957144862,true,true,
40,7,ShuffledRDD,8 partitionBy ,6,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
41,21,ShuffledRDD,16 partitionBy ,20,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
41,60,EdgeRDD,88 zipPartitions ,41 59,false,true,true,false,1,1200,0,60,38415591472,2441,true,true,16418943895,true,true,
42,35,VertexRDD,50 zipPartitions ,16 33,false,true,true,true,1,1200,0,35,4704943168,2821,true,true,3957144862,true,true,
42,7,ShuffledRDD,8 partitionBy ,6,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
65,35,VertexRDD,50 zipPartitions ,16 33,false,false,false,false,1,1200,0,35,4704943168,2821,true,true,3957144862,true,true,
65,7,ShuffledRDD,8 partitionBy ,6,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
76,81,ReplicatedVertexView.withActiveSet - shippedActives (broadcast),123 mapPartitions ,71,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
76,35,VertexRDD,50 zipPartitions ,16 33,false,false,false,false,1,1200,0,35,4704943168,2821,true,true,3957144862,true,true,
76,7,ShuffledRDD,8 partitionBy ,6,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
77,21,ShuffledRDD,16 partitionBy ,20,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
77,60,EdgeRDD,88 zipPartitions ,41 59,false,true,true,true,1,1200,0,60,38415591472,2441,true,true,16418943895,true,true,
78,35,VertexRDD,50 zipPartitions ,16 33,false,false,false,false,1,1200,0,35,4704943168,2821,true,true,3957144862,true,true,
78,7,ShuffledRDD,8 partitionBy ,6,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
114,35,VertexRDD,50 zipPartitions ,16 33,false,false,false,false,1,1200,0,35,4704943168,2821,true,true,3957144862,true,true,
114,7,ShuffledRDD,8 partitionBy ,6,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
128,35,VertexRDD,50 zipPartitions ,16 33,false,false,false,false,1,1200,0,35,4704943168,2821,true,true,3957144862,true,true,
128,7,ShuffledRDD,8 partitionBy ,6,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
129,21,ShuffledRDD,16 partitionBy ,20,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
129,60,EdgeRDD,88 zipPartitions ,41 59,false,false,false,false,1,1200,0,60,38415591472,2441,true,true,16418943895,true,true,
130,35,VertexRDD,50 zipPartitions ,16 33,false,false,false,false,1,1200,0,35,4704943168,2821,true,true,3957144862,true,true,
130,7,ShuffledRDD,8 partitionBy ,6,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
130,106,VertexRDD,162 zipPartitions ,92 105,false,true,true,false,1,1200,0,106,5531599312,1200,true,true,2190010,true,true,
2,7,ShuffledRDD,8 partitionBy ,6,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
4,7,ShuffledRDD,8 partitionBy ,6,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
5,21,ShuffledRDD,16 partitionBy ,20,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
6,7,ShuffledRDD,8 partitionBy ,6,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
12,35,VertexRDD,50 zipPartitions ,16 33,false,true,true,false,1,1200,0,35,4704943168,2821,true,true,3957144862,true,true,
12,7,ShuffledRDD,8 partitionBy ,6,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
17,7,ShuffledRDD,8 partitionBy ,6,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
18,21,ShuffledRDD,16 partitionBy ,20,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
19,35,VertexRDD,50 zipPartitions ,16 33,false,true,true,true,1,1200,0,35,4704943168,2821,true,true,3957144862,true,true,
