Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time,Duration,Executed,
0,count at GraphLoader.scala:93,,1200,1438854714935,1438854979561,264626,True,
3,mapPartitions at VertexRDD.scala:358,,1200,1438854979906,1438855149183,169277,True,
2,mapPartitions at VertexRDDImpl.scala:247,1,1200,1438855149270,1438855252802,103532,True,
4,mapPartitions at VertexRDDImpl.scala:247,3,1200,1438855149313,1438855305333,156020,True,
5,mapPartitions at GraphImpl.scala:235,2 4,1200,1438855305380,1438855895738,590358,True,
6,reduce at VertexRDDImpl.scala:90,5 3,1200,1438855895768,1438855981045,85277,True,
12,mapPartitions at VertexRDDImpl.scala:247,9 11,1200,1438855981761,1438856185525,203764,True,
17,mapPartitions at VertexRDDImpl.scala:251,16 14,1200,1438855981786,1438856213892,232106,True,
18,mapPartitions at GraphImpl.scala:235,15 12 13 17,1200,1438856213930,1438857760514,1546584,True,
19,reduce at VertexRDDImpl.scala:90,16 18 14,1200,1438857760542,1438857950827,190285,True,
32,mapPartitions at VertexRDDImpl.scala:247,27 31 29,1200,1438857952200,1438858044072,91872,True,
40,mapPartitions at VertexRDDImpl.scala:251,37 35 39,1200,1438857952230,1438858079887,127657,True,
41,mapPartitions at GraphImpl.scala:235,33 34 32 36 40,1200,1438858079919,1438858747229,667310,True,
42,reduce at VertexRDDImpl.scala:90,37 35 39 41,1200,1438858747253,1438858853208,105955,True,
65,mapPartitions at VertexRDDImpl.scala:247,60 64 58 62,1200,1438858855198,1438858947164,91966,True,
76,mapPartitions at VertexRDDImpl.scala:251,71 75 69 73,1200,1438858855223,1438858979161,123938,True,
77,mapPartitions at GraphImpl.scala:235,66 70 67 68 76 65,1200,1438858979197,1438859815291,836094,True,
78,reduce at VertexRDDImpl.scala:90,71 75 69 73 77,1200,1438859815318,1438859885813,70495,True,
114,mapPartitions at VertexRDDImpl.scala:247,107 111 105 109 113,1200,1438859888469,1438859965712,77243,True,
128,mapPartitions at VertexRDDImpl.scala:251,121 125 119 123 127,1200,1438859888495,1438859990455,101960,True,
129,mapPartitions at GraphImpl.scala:235,117 114 118 115 120 116 128,1200,1438859990485,1438860383248,392763,True,
130,reduce at VertexRDDImpl.scala:90,129 121 125 119 123 127,1200,1438860383275,1438860419949,36674,True,
31,mapPartitions at GraphImpl.scala:235,30 28 25 26,1200,0,0,0,False,
33,mapPartitions at VertexRDDImpl.scala:247,27 29,1200,0,0,0,False,
34,mapPartitions at VertexRDDImpl.scala:247,27,1200,0,0,0,False,
35,mapPartitions at VertexRDD.scala:358,,1200,0,0,0,False,
36,mapPartitions at VertexRDDImpl.scala:247,35,1200,0,0,0,False,
37,mapPartitions at GraphImpl.scala:235,34 36,1200,0,0,0,False,
38,mapPartitions at VertexRDDImpl.scala:251,37 35,1200,0,0,0,False,
39,mapPartitions at GraphImpl.scala:235,33 34 38 36,1200,0,0,0,False,
43,mapPartitions at VertexRDD.scala:358,,1200,0,0,0,False,
44,mapPartitions at VertexRDDImpl.scala:247,43,1200,0,0,0,False,
45,mapPartitions at VertexRDD.scala:358,,1200,0,0,0,False,
46,mapPartitions at VertexRDDImpl.scala:247,45,1200,0,0,0,False,
47,mapPartitions at GraphImpl.scala:235,46 44,1200,0,0,0,False,
48,mapPartitions at VertexRDDImpl.scala:247,45 47,1200,0,0,0,False,
49,mapPartitions at VertexRDDImpl.scala:247,45,1200,0,0,0,False,
50,mapPartitions at VertexRDD.scala:358,,1200,0,0,0,False,
51,mapPartitions at VertexRDDImpl.scala:247,50,1200,0,0,0,False,
52,mapPartitions at GraphImpl.scala:235,51 49,1200,0,0,0,False,
53,mapPartitions at VertexRDDImpl.scala:251,52 50,1200,0,0,0,False,
54,mapPartitions at GraphImpl.scala:235,51 48 49 53,1200,0,0,0,False,
55,mapPartitions at VertexRDDImpl.scala:247,52 50 54,1200,0,0,0,False,
56,mapPartitions at VertexRDDImpl.scala:247,52 50,1200,0,0,0,False,
57,mapPartitions at VertexRDDImpl.scala:247,50,1200,0,0,0,False,
58,mapPartitions at VertexRDD.scala:358,,1200,0,0,0,False,
59,mapPartitions at VertexRDDImpl.scala:247,58,1200,0,0,0,False,
60,mapPartitions at GraphImpl.scala:235,57 59,1200,0,0,0,False,
61,mapPartitions at VertexRDDImpl.scala:251,60 58,1200,0,0,0,False,
62,mapPartitions at GraphImpl.scala:235,56 57 61 59,1200,0,0,0,False,
63,mapPartitions at VertexRDDImpl.scala:251,60 58 62,1200,0,0,0,False,
64,mapPartitions at GraphImpl.scala:235,63 56 57 55 59,1200,0,0,0,False,
66,mapPartitions at VertexRDDImpl.scala:247,60 58 62,1200,0,0,0,False,
67,mapPartitions at VertexRDDImpl.scala:247,60 58,1200,0,0,0,False,
68,mapPartitions at VertexRDDImpl.scala:247,58,1200,0,0,0,False,
69,mapPartitions at VertexRDD.scala:358,,1200,0,0,0,False,
70,mapPartitions at VertexRDDImpl.scala:247,69,1200,0,0,0,False,
71,mapPartitions at GraphImpl.scala:235,70 68,1200,0,0,0,False,
72,mapPartitions at VertexRDDImpl.scala:251,71 69,1200,0,0,0,False,
73,mapPartitions at GraphImpl.scala:235,70 67 68 72,1200,0,0,0,False,
74,mapPartitions at VertexRDDImpl.scala:251,71 69 73,1200,0,0,0,False,
