id,stageID,executorID,host,type,executionTime,finishTime,gettingResultTime,startTime,executorRunTime,executorDeserializerTime,resultSerializationTime,shuffleWriteTime,GCTime,resultSize,memoryBytesSpilled,diskBytesSpilled,shuffleBytesWritten,shuffleRecordsWritten,dataReadMethod,bytesRead,recordsRead,shuffleRemoteBlocksFetched,shuffleLocalBlocksFetched,shuffleFetchWaitTime,shuffleRemoteBytesRead,shuffleLocalBytesRead,shuffleTotalRecordsRead,
31,1,5,9.12.247.196,ResultTask,27830,1436924343259,0,1436924315429,26682,1091,0,null,2189,2336,0,0,null,null,Hadoop,121454544,1180555,null,null,null,null,null,null,
231,1,7,9.12.247.186,ResultTask,26887,1436924465844,0,1436924438957,26863,6,0,null,1905,2336,0,0,null,null,Hadoop,121454133,1180555,null,null,null,null,null,null,
431,1,5,9.12.247.196,ResultTask,18013,1436924575492,0,1436924557479,17997,4,0,null,585,2336,0,0,null,null,Hadoop,121458244,1180555,null,null,null,null,null,null,
631,1,8,9.12.247.250,ResultTask,18734,1436924692124,0,1436924673390,18720,4,0,null,613,2336,0,0,null,null,Hadoop,121452635,1180555,null,null,null,null,null,null,
831,2,5,9.12.247.196,ShuffleMapTask,187,1436924745954,0,1436924745767,172,4,0,89699,31,1957,0,0,97,1,Memory,108606240,1180555,null,null,null,null,null,null,
1031,2,1,9.12.247.201,ShuffleMapTask,145,1436924748159,0,1436924748014,134,4,0,100143,0,1957,0,0,97,1,Memory,108606240,1180555,null,null,null,null,null,null,
1231,2,0,9.12.247.197,ShuffleMapTask,3444,1436924775077,0,1436924771633,3432,4,0,75966,112,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
1431,2,1,9.12.247.201,ShuffleMapTask,5646,1436924815645,0,1436924809999,5622,4,0,75005,190,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
1631,4,5,9.12.247.196,ShuffleMapTask,346,1436924821819,0,1436924821473,336,3,0,96414,131,1957,0,0,97,1,Memory,108606240,1180555,null,null,null,null,null,null,
1831,4,4,9.12.247.208,ShuffleMapTask,4254,1436924833732,0,1436924829478,4242,5,0,86937,196,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
2031,4,5,9.12.247.196,ShuffleMapTask,3363,1436924856346,0,1436924852983,3355,2,1,78331,45,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
2231,6,1,9.12.247.201,ShuffleMapTask,245,1436924894653,0,1436924894408,213,16,0,75635,23,1957,0,0,97,1,Memory,108606240,1180555,null,null,null,null,null,null,
2431,6,1,9.12.247.201,ShuffleMapTask,167,1436924895512,0,1436924895345,160,2,0,98879,0,1957,0,0,97,1,Memory,108606240,1180555,null,null,null,null,null,null,
