Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time,Duration,Executed,
0,first at GeneralizedLinearAlgorithm.scala:182,,1,1438265195803,1438265201874,6071,True,
1,count at DataValidators.scala:38,,800,1438265202290,1438265320113,117823,True,
2,count at GradientDescent.scala:161,,800,1438265320194,1438265321267,1073,True,
3,treeAggregate at GradientDescent.scala:189,,800,1438265322714,1438265324719,2005,True,
4,treeAggregate at GradientDescent.scala:189,3,27,1438265324733,1438265325074,341,True,
5,treeAggregate at GradientDescent.scala:189,,800,1438265325166,1438265326280,1114,True,
6,treeAggregate at GradientDescent.scala:189,5,27,1438265326286,1438265326432,146,True,
7,treeAggregate at GradientDescent.scala:189,,800,1438265326496,1438265327584,1088,True,
8,treeAggregate at GradientDescent.scala:189,7,27,1438265327589,1438265327714,125,True,
9,mean at LogisticRegressionApp.java:93,,800,1438265327768,1438265329669,1901,True,
