Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time,Duration,Executed,
0,first at GeneralizedLinearAlgorithm.scala:182,,1,1440183019554,1440183033137,13583,True,
1,count at DataValidators.scala:38,,800,1440183033895,1440184159555,1125660,True,
2,count at GradientDescent.scala:161,,800,1440184159631,1440184237179,77548,True,
3,treeAggregate at GradientDescent.scala:189,,800,1440184238386,1440184313390,75004,True,
4,treeAggregate at GradientDescent.scala:189,3,27,1440184313404,1440184314411,1007,True,
5,treeAggregate at GradientDescent.scala:189,,800,1440184314528,1440184389476,74948,True,
6,treeAggregate at GradientDescent.scala:189,5,27,1440184389482,1440184389862,380,True,
7,treeAggregate at GradientDescent.scala:189,,800,1440184389937,1440184464977,75040,True,
8,treeAggregate at GradientDescent.scala:189,7,27,1440184464983,1440184465266,283,True,
9,mean at LogisticRegressionApp.java:93,,800,1440184465855,1440184544566,78711,True,
