Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time,Duration,Executed,
0,first at GeneralizedLinearAlgorithm.scala:182,,1,1438272501328,1438272513405,12077,True,
1,count at DataValidators.scala:38,,800,1438272513728,1438273031339,517611,True,
2,count at GradientDescent.scala:161,,800,1438273031412,1438273053674,22262,True,
3,treeAggregate at GradientDescent.scala:189,,800,1438273054796,1438273080378,25582,True,
4,treeAggregate at GradientDescent.scala:189,3,27,1438273080391,1438273081098,707,True,
5,treeAggregate at GradientDescent.scala:189,,800,1438273081205,1438273108408,27203,True,
6,treeAggregate at GradientDescent.scala:189,5,27,1438273108414,1438273108682,268,True,
7,treeAggregate at GradientDescent.scala:189,,800,1438273108744,1438273136170,27426,True,
8,treeAggregate at GradientDescent.scala:189,7,27,1438273136177,1438273136415,238,True,
9,mean at LogisticRegressionApp.java:93,,800,1438273136514,1438273168612,32098,True,
