Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time,Duration,Executed,
0,first at GeneralizedLinearAlgorithm.scala:182,,1,1438265516373,1438265522934,6561,True,
1,count at DataValidators.scala:38,,800,1438265523208,1438265677186,153978,True,
2,count at GradientDescent.scala:161,,800,1438265677260,1438265678247,987,True,
3,treeAggregate at GradientDescent.scala:189,,800,1438265679448,1438265681548,2100,True,
4,treeAggregate at GradientDescent.scala:189,3,27,1438265681562,1438265681921,359,True,
5,treeAggregate at GradientDescent.scala:189,,800,1438265682017,1438265683266,1249,True,
6,treeAggregate at GradientDescent.scala:189,5,27,1438265683272,1438265683424,152,True,
7,treeAggregate at GradientDescent.scala:189,,800,1438265683482,1438265684696,1214,True,
8,treeAggregate at GradientDescent.scala:189,7,27,1438265684702,1438265684843,141,True,
9,mean at LogisticRegressionApp.java:93,,800,1438265684894,1438265687259,2365,True,
