Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time,Duration,Executed,
0,first at GeneralizedLinearAlgorithm.scala:182,,1,1440689329798,1440689337623,7825,True,
1,count at DataValidators.scala:38,,800,1440689337933,1440689669147,331214,True,
2,count at GradientDescent.scala:161,,800,1440689669228,1440689671783,2555,True,
3,treeAggregate at GradientDescent.scala:189,,800,1440689674331,1440689678543,4212,True,
4,treeAggregate at GradientDescent.scala:189,3,27,1440689678556,1440689678992,436,True,
5,treeAggregate at GradientDescent.scala:189,,800,1440689679093,1440689682484,3391,True,
6,treeAggregate at GradientDescent.scala:189,5,27,1440689682490,1440689682669,179,True,
7,treeAggregate at GradientDescent.scala:189,,800,1440689682726,1440689685801,3075,True,
8,treeAggregate at GradientDescent.scala:189,7,27,1440689685806,1440689685945,139,True,
9,mean at LogisticRegressionApp.java:93,,800,1440689685998,1440689692255,6257,True,
