Stage ID,RDD ID,Name,Scope,Parent IDs,Use ExternalBlockStore,Deserialized,Use Memory,Use Disk,Replication,Number of Partitions,ExternalBlockStore Size,RddID,Memory Size,Number of Cached Partitions,Use Memory,Use Disk,Disk Size,Memory,Disk,
3,7,MapPartitionsRDD,15 treeAggregate ,6,false,false,false,false,1,800,0,null,null,null,null,null,null,false,false,
9,21,MapPartitionsRDD,38 map ,2,false,false,false,false,1,800,0,null,null,null,null,null,null,false,false,
9,24,MapPartitionsRDD,41 mean ,22,false,false,false,false,1,800,0,null,null,null,null,null,null,false,false,
4,9,ShuffledRDD,15 treeAggregate ,8,false,false,false,false,1,27,0,null,null,null,null,null,null,false,false,
5,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,800,0,null,null,null,null,null,null,false,false,
7,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,800,0,null,null,null,null,null,null,false,false,
9,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,800,0,null,null,null,null,null,null,false,false,
0,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,800,0,null,null,null,null,null,null,false,false,
1,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,800,0,null,null,null,null,null,null,false,false,
2,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,800,0,null,null,null,null,null,null,false,false,
3,1,MapPartitionsRDD,0 textFile ,0,false,false,false,false,1,800,0,null,null,null,null,null,null,false,false,
5,12,MapPartitionsRDD,23 treeAggregate ,11,false,false,false,false,1,800,0,null,null,null,null,null,null,false,false,
6,15,MapPartitionsRDD,23 treeAggregate ,14,false,false,false,false,1,27,0,null,null,null,null,null,null,false,false,
3,6,PartitionwiseSampledRDD,14 sample ,5,false,false,false,false,1,800,0,null,null,null,null,null,null,false,false,
7,17,MapPartitionsRDD,31 treeAggregate ,16,false,false,false,false,1,800,0,null,null,null,null,null,null,false,false,
8,20,MapPartitionsRDD,31 treeAggregate ,19,false,false,false,false,1,27,0,null,null,null,null,null,null,false,false,
0,3,MapPartitionsRDD,2 map ,2,false,false,false,false,1,800,0,null,null,null,null,null,null,false,false,
4,10,MapPartitionsRDD,15 treeAggregate ,9,false,false,false,false,1,27,0,null,null,null,null,null,null,false,false,
5,13,MapPartitionsRDD,23 treeAggregate ,12,false,false,false,false,1,800,0,null,null,null,null,null,null,false,false,
5,5,MapPartitionsRDD,11 map ,2,false,false,false,false,1,800,0,null,null,null,null,null,null,false,false,
7,5,MapPartitionsRDD,11 map ,2,false,false,false,false,1,800,0,null,null,null,null,null,null,false,false,
2,5,MapPartitionsRDD,11 map ,2,false,false,false,false,1,800,0,null,null,null,null,null,null,false,false,
3,5,MapPartitionsRDD,11 map ,2,false,false,false,false,1,800,0,null,null,null,null,null,null,false,false,
7,16,PartitionwiseSampledRDD,30 sample ,5,false,false,false,false,1,800,0,null,null,null,null,null,null,false,false,
8,19,ShuffledRDD,31 treeAggregate ,18,false,false,false,false,1,27,0,null,null,null,null,null,null,false,false,
9,22,MapPartitionsRDD,39 map ,21,false,false,false,false,1,800,0,null,null,null,null,null,null,false,false,
3,8,MapPartitionsRDD,15 treeAggregate ,7,false,false,false,false,1,800,0,null,null,null,null,null,null,false,false,
5,11,PartitionwiseSampledRDD,22 sample ,5,false,false,false,false,1,800,0,null,null,null,null,null,null,false,false,
5,0,hdfs://minli39.sl.cloud9.ibm.com:9000/SparkBench/LogisticRegression/Input,0 textFile ,,false,false,false,false,1,800,0,null,null,null,null,null,null,false,false,
7,0,hdfs://minli39.sl.cloud9.ibm.com:9000/SparkBench/LogisticRegression/Input,0 textFile ,,false,false,false,false,1,800,0,null,null,null,null,null,null,false,false,
9,0,hdfs://minli39.sl.cloud9.ibm.com:9000/SparkBench/LogisticRegression/Input,0 textFile ,,false,false,false,false,1,800,0,null,null,null,null,null,null,false,false,
0,0,hdfs://minli39.sl.cloud9.ibm.com:9000/SparkBench/LogisticRegression/Input,0 textFile ,,false,false,false,false,1,800,0,null,null,null,null,null,null,false,false,
1,4,MapPartitionsRDD,8 filter ,2,false,false,false,false,1,800,0,null,null,null,null,null,null,false,false,
1,0,hdfs://minli39.sl.cloud9.ibm.com:9000/SparkBench/LogisticRegression/Input,0 textFile ,,false,false,false,false,1,800,0,null,null,null,null,null,null,false,false,
2,0,hdfs://minli39.sl.cloud9.ibm.com:9000/SparkBench/LogisticRegression/Input,0 textFile ,,false,false,false,false,1,800,0,null,null,null,null,null,null,false,false,
3,0,hdfs://minli39.sl.cloud9.ibm.com:9000/SparkBench/LogisticRegression/Input,0 textFile ,,false,false,false,false,1,800,0,null,null,null,null,null,null,false,false,
6,14,ShuffledRDD,23 treeAggregate ,13,false,false,false,false,1,27,0,null,null,null,null,null,null,false,false,
5,2,MapPartitionsRDD,1 map ,1,false,true,true,true,1,800,0,2,22255437344,800,true,true,48345975000,true,true,
7,18,MapPartitionsRDD,31 treeAggregate ,17,false,false,false,false,1,800,0,null,null,null,null,null,null,false,false,
7,2,MapPartitionsRDD,1 map ,1,false,true,true,true,1,800,0,2,22255437344,800,true,true,48345975000,true,true,
9,2,MapPartitionsRDD,1 map ,1,false,true,true,true,1,800,0,2,22255437344,800,true,true,48345975000,true,true,
0,2,MapPartitionsRDD,1 map ,1,false,true,true,false,1,800,0,2,22255437344,800,true,true,48345975000,true,true,
1,2,MapPartitionsRDD,1 map ,1,false,true,true,true,1,800,0,2,22255437344,800,true,true,48345975000,true,true,
2,2,MapPartitionsRDD,1 map ,1,false,true,true,true,1,800,0,2,22255437344,800,true,true,48345975000,true,true,
3,2,MapPartitionsRDD,1 map ,1,false,true,true,true,1,800,0,2,22255437344,800,true,true,48345975000,true,true,
