Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time,Duration,Executed,
0,first at GeneralizedLinearAlgorithm.scala:182,,1,1438309313056,1438309328304,15248,True,
1,count at DataValidators.scala:38,,1600,1438309328747,1438310523972,1195225,True,
2,count at GradientDescent.scala:161,,1600,1438310524088,1438310640107,116019,True,
3,treeAggregate at GradientDescent.scala:189,,1600,1438310641348,1438310784632,143284,True,
4,treeAggregate at GradientDescent.scala:189,3,40,1438310784648,1438310785823,1175,True,
5,treeAggregate at GradientDescent.scala:189,,1600,1438310785977,1438310902229,116252,True,
6,treeAggregate at GradientDescent.scala:189,5,40,1438310902235,1438310902859,624,True,
7,treeAggregate at GradientDescent.scala:189,,1600,1438310902943,1438311021712,118769,True,
8,treeAggregate at GradientDescent.scala:189,7,40,1438311021719,1438311023229,1510,True,
9,mean at LogisticRegressionApp.java:93,,1600,1438311023328,1438311155916,132588,True,
