Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,191216,191379,163,0.08517131
1,1709724,1710186,462,0.027014606
2,710037,710135,98,0.013800193
3,648148,648251,103,0.015888907
4,725289,725364,75,0.010339636
5,724004,724083,79,0.010910352
6,679589,679700,111,0.016330734
7,688459,688533,74,0.010747488
8,729026,729091,65,0.008915211
9,659503,659565,62,0.009400135
10,648440,648494,54,0.008326985
11,629265,629322,57,0.009057366
12,601975,602036,61,0.010132285
13,25025,25134,109,0.43367547
