Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,300346,300485,139,0.046258546
1,1885631,1886015,384,0.02036039
2,812441,812510,69,0.008492203
3,800893,800963,70,0.00873948
4,786378,786445,67,0.00851935
5,841904,841964,60,0.0071261954
6,856819,856879,60,0.0070021553
7,776358,776426,68,0.008758079
8,747779,747835,56,0.0074882833
9,720578,720633,55,0.007632179
10,671518,671579,61,0.009083071
11,713503,713557,54,0.0075677205
12,707124,707198,74,0.01046383
13,50094,50311,217,0.43131718
