Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time,Duration,Executed,
0,count at GraphLoader.scala:93,,800,1438034609373,1438034690095,80722,True,
4,mapPartitions at VertexRDD.scala:358,,800,1438034690528,1438034737847,47319,True,
5,mapPartitions at GraphImpl.scala:235,,800,1438034690607,1438034755800,65193,True,
3,mapPartitions at VertexRDDImpl.scala:247,1 2,800,1438034755851,1438034805533,49682,True,
6,mapPartitions at VertexRDDImpl.scala:247,5 4,800,1438034755888,1438034816633,60745,True,
7,mapPartitions at GraphImpl.scala:235,6 3,800,1438034816668,1438034970651,153983,True,
8,mapPartitions at VertexRDDImpl.scala:247,5 7 4,800,1438034970676,1438035025812,55136,True,
9,foreachPartition at PageRank.scala:145,6 3 8,800,1438035025838,1438035192931,167093,True,
18,mapPartitions at GraphImpl.scala:235,15 12 17,800,1438035193536,1438035235083,41547,True,
19,mapPartitions at VertexRDDImpl.scala:247,16 13 18 14,800,1438035235109,1438035291924,56815,True,
20,foreachPartition at PageRank.scala:145,15 12 19 17,800,1438035291945,1438035409708,117763,True,
31,mapPartitions at GraphImpl.scala:235,30 28 26 23,800,1438035410425,1438035468114,57689,True,
32,mapPartitions at VertexRDDImpl.scala:247,27 31 24 25 29,800,1438035468139,1438035515805,47666,True,
33,foreachPartition at PageRank.scala:145,30 32 28 26 23,800,1438035515820,1438035657083,141263,True,
46,mapPartitions at GraphImpl.scala:235,45 39 36 43 41,800,1438035657964,1438035707857,49893,True,
47,mapPartitions at VertexRDDImpl.scala:247,37 46 38 42 40 44,800,1438035707878,1438035766737,58859,True,
48,foreachPartition at PageRank.scala:145,45 39 36 43 47 41,800,1438035766753,1438035938461,171708,True,
63,mapPartitions at GraphImpl.scala:235,51 60 56 54 58 62,800,1438035939494,1438035983624,44130,True,
64,mapPartitions at VertexRDDImpl.scala:247,63 52 53 57 61 55 59,800,1438035983645,1438036031654,48009,True,
65,foreachPartition at PageRank.scala:145,51 60 64 56 54 58 62,800,1438036031678,1438036188735,157057,True,
82,mapPartitions at GraphImpl.scala:235,81 71 68 75 79 73 77,800,1438036189923,1438036239814,49891,True,
83,mapPartitions at VertexRDDImpl.scala:247,78 70 82 74 72 69 76 80,800,1438036239833,1438036282981,43148,True,
84,foreachPartition at PageRank.scala:145,81 71 68 83 75 79 73 77,800,1438036282996,1438036396344,113348,True,
103,mapPartitions at GraphImpl.scala:235,102 96 100 90 87 94 98 92,800,1438036397715,1438036449556,51841,True,
104,mapPartitions at VertexRDDImpl.scala:247,99 88 103 89 101 93 97 91 95,800,1438036449578,1438036493808,44230,True,
105,foreachPartition at PageRank.scala:145,102 96 100 104 90 87 94 98 92,800,1438036493830,1438036668109,174279,True,
126,mapPartitions at GraphImpl.scala:235,117 121 115 125 119 111 108 123 113,800,1438036669618,1438036723198,53580,True,
127,mapPartitions at VertexRDDImpl.scala:247,114 118 122 126 120 112 109 124 116 110,800,1438036723216,1438036773474,50258,True,
128,foreachPartition at PageRank.scala:145,117 121 115 125 119 111 108 123 127 113,800,1438036773491,1438036909040,135549,True,
151,mapPartitions at GraphImpl.scala:235,150 136 140 144 138 148 142 134 131 146,800,1438036910731,1438036954267,43536,True,
152,mapPartitions at VertexRDDImpl.scala:247,143 135 132 147 139 151 133 137 141 145 149,800,1438036954285,1438037011343,57058,True,
153,foreachPartition at PageRank.scala:145,150 136 140 152 144 138 148 142 134 131 146,800,1438037011354,1438037143452,132098,True,
178,mapPartitions at GraphImpl.scala:235,161 171 165 169 173 177 159 156 163 175 167,800,1438037145324,1438037192459,47135,True,
179,mapPartitions at VertexRDDImpl.scala:247,168 157 172 166 176 158 170 162 174 178 160 164,800,1438037192475,1438037234126,41651,True,
180,foreachPartition at PageRank.scala:145,179 161 171 165 169 173 177 159 156 163 175 167,800,1438037234137,1438037370266,136129,True,
207,mapPartitions at GraphImpl.scala:235,204 186 198 183 190 202 194 206 188 192 196 200,800,1438037372291,1438037422747,50456,True,
208,mapPartitions at VertexRDDImpl.scala:247,197 201 205 187 184 191 203 195 207 189 199 193 185,800,1438037422764,1438037469518,46754,True,
209,foreachPartition at PageRank.scala:145,204 186 198 183 208 190 202 194 206 188 192 196 200,800,1438037469528,1438037584203,114675,True,
238,mapPartitions at GraphImpl.scala:235,233 215 212 237 219 223 235 227 221 231 225 217 229,800,1438037586420,1438037635074,48654,True,
239,mapPartitions at VertexRDDImpl.scala:247,234 220 213 228 214 236 230 222 216 238 224 232 226 218,800,1438037635092,1438037685839,50747,True,
240,foreachPartition at PageRank.scala:145,233 212 219 235 227 221 229 215 237 223 239 231 225 217,800,1438037685880,1438037817394,131514,True,
270,saveAsTextFile at pagerankApp.scala:55,269 263 255 249 257 265 244 251 267 259 253 245 261 247,800,1438037819917,1438037830795,10878,True,
231,mapPartitions at VertexRDDImpl.scala:247,230 222 216 220 224 213 228 214 226 218,800,0,0,0,False,
232,mapPartitions at GraphImpl.scala:235,215 212 219 223 227 221 231 225 217 229,800,0,0,0,False,
233,mapPartitions at VertexRDDImpl.scala:247,230 222 216 220 224 213 228 232 214 226 218,800,0,0,0,False,
34,mapPartitions at GraphImpl.scala:235,,800,0,0,0,False,
234,mapPartitions at GraphImpl.scala:235,233 215 212 219 223 227 221 231 225 217 229,800,0,0,0,False,
35,mapPartitions at VertexRDD.scala:358,,800,0,0,0,False,
235,mapPartitions at VertexRDDImpl.scala:247,230 222 234 216 220 224 213 228 232 214 226 218,800,0,0,0,False,
36,mapPartitions at VertexRDDImpl.scala:247,34 35,800,0,0,0,False,
236,mapPartitions at GraphImpl.scala:235,233 215 212 219 223 235 227 221 231 225 217 229,800,0,0,0,False,
37,mapPartitions at VertexRDD.scala:358,,800,0,0,0,False,
237,mapPartitions at VertexRDDImpl.scala:247,218 230 222 234 216 220 224 213 228 232 214 226 236,800,0,0,0,False,
38,mapPartitions at GraphImpl.scala:235,,800,0,0,0,False,
39,mapPartitions at VertexRDDImpl.scala:247,37 38,800,0,0,0,False,
40,mapPartitions at GraphImpl.scala:235,39 36,800,0,0,0,False,
241,mapPartitions at GraphImpl.scala:235,,800,0,0,0,False,
41,mapPartitions at VertexRDDImpl.scala:247,37 38 40,800,0,0,0,False,
242,mapPartitions at VertexRDD.scala:358,,800,0,0,0,False,
42,mapPartitions at GraphImpl.scala:235,39 36 41,800,0,0,0,False,
243,mapPartitions at VertexRDDImpl.scala:247,241 242,800,0,0,0,False,
43,mapPartitions at VertexRDDImpl.scala:247,37 38 42 40,800,0,0,0,False,
44,mapPartitions at GraphImpl.scala:235,39 36 43 41,800,0,0,0,False,
