Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time,Duration,Executed,
0,count at GraphLoader.scala:93,,1200,1439995229022,1439995252317,23295,True,
4,mapPartitions at VertexRDD.scala:358,,1200,1439995252791,1439995271661,18870,True,
5,mapPartitions at GraphImpl.scala:235,,1200,1439995252878,1439995282308,29430,True,
3,mapPartitions at VertexRDDImpl.scala:247,1 2,1200,1439995282381,1439995336660,54279,True,
6,mapPartitions at VertexRDDImpl.scala:247,5 4,1200,1439995282455,1439995346256,63801,True,
7,mapPartitions at GraphImpl.scala:235,6 3,1200,1439995346310,1439995428058,81748,True,
8,mapPartitions at VertexRDDImpl.scala:247,5 7 4,1200,1439995428093,1439995465556,37463,True,
9,foreachPartition at PageRank.scala:145,6 3 8,1200,1439995465589,1439995532096,66507,True,
18,mapPartitions at GraphImpl.scala:235,15 12 17,1200,1439995533358,1439995551309,17951,True,
19,mapPartitions at VertexRDDImpl.scala:247,16 13 18 14,1200,1439995551340,1439995581210,29870,True,
20,foreachPartition at PageRank.scala:145,15 12 19 17,1200,1439995581231,1439995627513,46282,True,
31,mapPartitions at GraphImpl.scala:235,30 28 26 23,1200,1439995629131,1439995646558,17427,True,
32,mapPartitions at VertexRDDImpl.scala:247,27 31 24 25 29,1200,1439995646601,1439995675217,28616,True,
33,foreachPartition at PageRank.scala:145,30 32 28 26 23,1200,1439995675236,1439995735962,60726,True,
46,mapPartitions at GraphImpl.scala:235,45 39 36 43 41,1200,1439995737922,1439995761979,24057,True,
47,mapPartitions at VertexRDDImpl.scala:247,37 46 38 42 40 44,1200,1439995762009,1439995790379,28370,True,
48,foreachPartition at PageRank.scala:145,45 39 36 43 47 41,1200,1439995790394,1439995834501,44107,True,
63,mapPartitions at GraphImpl.scala:235,51 60 56 54 58 62,1200,1439995836836,1439995855130,18294,True,
64,mapPartitions at VertexRDDImpl.scala:247,63 52 53 57 61 55 59,1200,1439995855156,1439995884890,29734,True,
65,foreachPartition at PageRank.scala:145,51 60 64 56 54 58 62,1200,1439995884906,1439995934464,49558,True,
82,mapPartitions at GraphImpl.scala:235,81 71 68 75 79 73 77,1200,1439995937157,1439995956501,19344,True,
83,mapPartitions at VertexRDDImpl.scala:247,78 70 82 74 72 69 76 80,1200,1439995956526,1439995986779,30253,True,
84,foreachPartition at PageRank.scala:145,81 71 68 83 75 79 73 77,1200,1439995986796,1439996038334,51538,True,
103,mapPartitions at GraphImpl.scala:235,102 96 100 90 87 94 98 92,1200,1439996041426,1439996060541,19115,True,
104,mapPartitions at VertexRDDImpl.scala:247,99 88 103 89 101 93 97 91 95,1200,1439996060563,1439996090430,29867,True,
105,foreachPartition at PageRank.scala:145,102 96 100 104 90 87 94 98 92,1200,1439996090446,1439996135614,45168,True,
126,mapPartitions at GraphImpl.scala:235,117 121 115 125 119 111 108 123 113,1200,1439996139058,1439996158595,19537,True,
127,mapPartitions at VertexRDDImpl.scala:247,114 118 122 126 120 112 109 124 116 110,1200,1439996158618,1439996188783,30165,True,
128,foreachPartition at PageRank.scala:145,117 121 115 125 119 111 108 123 127 113,1200,1439996188803,1439996239307,50504,True,
151,mapPartitions at GraphImpl.scala:235,150 136 140 144 138 148 142 134 131 146,1200,1439996243096,1439996262785,19689,True,
152,mapPartitions at VertexRDDImpl.scala:247,143 135 132 147 139 151 133 137 141 145 149,1200,1439996262807,1439996293038,30231,True,
153,foreachPartition at PageRank.scala:145,150 136 140 152 144 138 148 142 134 131 146,1200,1439996293055,1439996340224,47169,True,
178,mapPartitions at GraphImpl.scala:235,161 171 165 169 173 177 159 156 163 175 167,1200,1439996344404,1439996365903,21499,True,
179,mapPartitions at VertexRDDImpl.scala:247,168 157 172 166 176 158 170 162 174 178 160 164,1200,1439996365925,1439996394520,28595,True,
180,foreachPartition at PageRank.scala:145,179 161 171 165 169 173 177 159 156 163 175 167,1200,1439996394537,1439996442476,47939,True,
207,mapPartitions at GraphImpl.scala:235,204 186 198 183 190 202 194 206 188 192 196 200,1200,1439996446988,1439996465539,18551,True,
208,mapPartitions at VertexRDDImpl.scala:247,197 201 205 187 184 191 203 195 207 189 199 193 185,1200,1439996465562,1439996495185,29623,True,
209,foreachPartition at PageRank.scala:145,204 186 198 183 208 190 202 194 206 188 192 196 200,1200,1439996495203,1439996553153,57950,True,
238,mapPartitions at GraphImpl.scala:235,233 215 212 237 219 223 235 227 221 231 225 217 229,1200,1439996558040,1439996576967,18927,True,
239,mapPartitions at VertexRDDImpl.scala:247,234 220 213 228 214 236 230 222 216 238 224 232 226 218,1200,1439996576990,1439996606344,29354,True,
240,foreachPartition at PageRank.scala:145,233 212 219 235 227 221 229 215 237 223 239 231 225 217,1200,1439996606360,1439996648860,42500,True,
270,saveAsTextFile at pagerankApp.scala:55,269 263 255 249 257 265 244 251 267 259 253 245 261 247,1200,1439996654208,1439996667107,12899,True,
231,mapPartitions at VertexRDDImpl.scala:247,230 222 216 220 224 213 228 214 226 218,1200,0,0,0,False,
232,mapPartitions at GraphImpl.scala:235,215 212 219 223 227 221 231 225 217 229,1200,0,0,0,False,
233,mapPartitions at VertexRDDImpl.scala:247,230 222 216 220 224 213 228 232 214 226 218,1200,0,0,0,False,
234,mapPartitions at GraphImpl.scala:235,233 215 212 219 223 227 221 231 225 217 229,1200,0,0,0,False,
34,mapPartitions at GraphImpl.scala:235,,1200,0,0,0,False,
35,mapPartitions at VertexRDD.scala:358,,1200,0,0,0,False,
