Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,104686,104873,187,0.1783109
1,916212,916667,455,0.049636345
2,344296,344381,85,0.024681967
3,313236,313316,80,0.025533326
4,326745,326828,83,0.02539562
5,334663,334728,65,0.019418752
6,396948,397017,69,0.017379608
7,371188,371254,66,0.017777586
8,351657,351718,61,0.01734344
9,317810,317875,65,0.020448288
10,351314,351370,56,0.015937615
11,258452,258508,56,0.021662772
12,307438,307497,59,0.019187178
13,21945,22003,58,0.2636004
