Stage ID,RDD ID,Name,Scope,Parent IDs,Use ExternalBlockStore,Deserialized,Use Memory,Use Disk,Replication,Number of Partitions,ExternalBlockStore Size,RddID,Memory Size,Number of Cached Partitions,Use Memory,Use Disk,Disk Size,Memory,Disk,
3,7,ShuffledRDD,8 partitionBy ,6,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
6,7,ShuffledRDD,8 partitionBy ,6,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
7,21,ShuffledRDD,17 partitionBy ,20,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
8,35,ShuffledRDD,26 partitionBy ,34,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
8,7,ShuffledRDD,8 partitionBy ,6,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
9,21,ShuffledRDD,17 partitionBy ,20,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
18,21,ShuffledRDD,17 partitionBy ,20,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
19,7,ShuffledRDD,8 partitionBy ,6,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
19,35,ShuffledRDD,26 partitionBy ,34,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
20,21,ShuffledRDD,17 partitionBy ,20,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
31,21,ShuffledRDD,17 partitionBy ,20,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
32,7,ShuffledRDD,8 partitionBy ,6,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
32,60,VertexRDD,95 zipPartitions ,50 59,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
32,35,ShuffledRDD,26 partitionBy ,34,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
33,21,ShuffledRDD,17 partitionBy ,20,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
46,21,ShuffledRDD,17 partitionBy ,20,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
47,7,ShuffledRDD,8 partitionBy ,6,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
47,60,VertexRDD,95 zipPartitions ,50 59,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
47,35,ShuffledRDD,26 partitionBy ,34,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
48,81,EdgeRDDImpl,null,80,false,true,true,true,1,1200,0,null,null,null,null,null,null,true,true,
48,21,ShuffledRDD,17 partitionBy ,20,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
63,21,ShuffledRDD,17 partitionBy ,20,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
64,7,ShuffledRDD,8 partitionBy ,6,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
64,60,VertexRDD,95 zipPartitions ,50 59,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
64,35,ShuffledRDD,26 partitionBy ,34,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
65,21,ShuffledRDD,17 partitionBy ,20,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
82,21,ShuffledRDD,17 partitionBy ,20,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
83,7,ShuffledRDD,8 partitionBy ,6,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
83,60,VertexRDD,95 zipPartitions ,50 59,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
83,35,ShuffledRDD,26 partitionBy ,34,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
84,21,ShuffledRDD,17 partitionBy ,20,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
103,106,GraphImpl.aggregateMessages - preAgg,185 mapPartitions ,104,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
103,21,ShuffledRDD,17 partitionBy ,20,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
104,7,ShuffledRDD,8 partitionBy ,6,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
104,60,VertexRDD,95 zipPartitions ,50 59,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
104,35,ShuffledRDD,26 partitionBy ,34,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
105,21,ShuffledRDD,17 partitionBy ,20,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
126,21,ShuffledRDD,17 partitionBy ,20,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
127,7,ShuffledRDD,8 partitionBy ,6,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
127,60,VertexRDD,95 zipPartitions ,50 59,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
127,35,ShuffledRDD,26 partitionBy ,34,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
128,21,ShuffledRDD,17 partitionBy ,20,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
151,21,ShuffledRDD,17 partitionBy ,20,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
152,134,VertexRDD,234 zipPartitions ,122 132,false,true,true,false,1,1200,0,134,10863095544,2246,true,true,4897331587,true,true,
152,7,ShuffledRDD,8 partitionBy ,6,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
152,60,VertexRDD,95 zipPartitions ,50 59,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
152,35,ShuffledRDD,26 partitionBy ,34,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
153,21,ShuffledRDD,17 partitionBy ,20,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
178,21,ShuffledRDD,17 partitionBy ,20,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
179,134,VertexRDD,234 zipPartitions ,122 132,false,true,true,true,1,1200,0,134,10863095544,2246,true,true,4897331587,true,true,
179,7,ShuffledRDD,8 partitionBy ,6,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
179,60,VertexRDD,95 zipPartitions ,50 59,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
179,35,ShuffledRDD,26 partitionBy ,34,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
180,21,ShuffledRDD,17 partitionBy ,20,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
207,21,ShuffledRDD,17 partitionBy ,20,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
208,134,VertexRDD,234 zipPartitions ,122 132,false,false,false,false,1,1200,0,134,10863095544,2246,true,true,4897331587,true,true,
208,7,ShuffledRDD,8 partitionBy ,6,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
208,60,VertexRDD,95 zipPartitions ,50 59,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
208,35,ShuffledRDD,26 partitionBy ,34,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
209,21,ShuffledRDD,17 partitionBy ,20,false,false,false,false,1,1200,0,null,null,null,null,null,null,false,false,
