Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,245664,245816,152,0.061834864
1,1467432,1467782,350,0.023845503
2,706938,706999,61,0.008628017
3,787504,787585,81,0.010284604
4,714218,714282,64,0.008960047
5,753452,753513,61,0.008095414
6,677063,677128,65,0.009599366
7,715958,716022,64,0.008938273
8,684761,684812,51,0.007447299
9,828688,828750,62,0.007481146
10,895523,895578,55,0.006141285
11,718239,718294,55,0.0076570315
12,550083,550138,55,0.009997492
13,45484,45674,190,0.41599157
