Stage ID,Real Duration,Estimated Duration,Error,Error Percentage,Size,Error/AppDuration
0,15228,11350,3878,0.25466246388232205,2.2809087680652738,0.003408152145255128
64,7838,974,6864,0.8757336055116101,2.2809087680652738,0.006032376566537184
128,14807,1934,12873,0.8693861011683663,2.2809087680652738,0.01131334259047686
65,15024,13829,1195,0.07953940362087326,2.2809087680652738,0.0010502170741567504
3,17431,15687,1744,0.1000516321496185,2.2809087680652738,0.0015327017383509394
4,9345,7828,1517,0.16233279828785446,2.2809087680652738,0.0013332044363981508
5,12839,8795,4044,0.3149778020095023,2.2809087680652738,0.003554040040075229
6,20326,20706,380,0.018695267145527897,2.2809087680652738,3.339602411544478E-4
7,21850,17839,4011,0.18356979405034324,2.2809087680652738,0.0035250382296591848
8,9065,34183,25118,2.770876999448428,2.2809087680652738,0.022074771940309
9,21275,8363,12912,0.6069095182138661,2.2809087680652738,0.011347617457332185
270,18352,12760,5592,0.3047079337401918,2.2809087680652738,0.004914488601409664
207,6662,7852,1190,0.17862503752626838,2.2809087680652738,0.0010458228604573498
208,7142,9247,2105,0.2947353682441893,2.2809087680652738,0.001849963967447665
209,12431,25847,13416,1.0792373903949803,2.2809087680652738,0.011790554198231768
18,6086,8995,2909,0.4779822543542557,2.2809087680652738,0.0025565535303112862
82,6356,8475,2119,0.3333857772183763,2.2809087680652738,0.0018622677658059867
19,7641,13373,5732,0.7501635911529905,2.2809087680652738,0.005037526584992881
83,8036,6519,1517,0.18877551020408162,2.2809087680652738,0.0013332044363981508
20,14453,16523,2070,0.14322286030581885,2.2809087680652738,0.0018192044715518605
84,21543,8732,12811,0.594671122870538,2.2809087680652738,0.011258854340604292
151,6187,7583,1396,0.2256343946985615,2.2809087680652738,0.0012268644648726556
152,7591,2493,5098,0.671584771439863,2.2809087680652738,0.004480340287908882
153,12760,7271,5489,0.43017241379310345,2.2809087680652738,0.004823967799202011
31,5180,37578,32398,6.254440154440155,2.2809087680652738,0.028472747086636316
32,11114,6994,4120,0.3707036170595645,2.2809087680652738,0.0036208320883061185
33,19871,34964,15093,0.759549091641085,2.2809087680652738,0.01326437347301074
103,5858,7898,2040,0.3482417207237965,2.2809087680652738,0.0017928391893554567
104,8318,-122,8440,1.0146669872565521,2.2809087680652738,0.0074174327245882625
105,22043,35143,13100,0.5942929728258404,2.2809087680652738,0.011512839892429648
46,4912,4555,357,0.07267915309446255,2.2809087680652738,3.137468581372049E-4
238,6136,7118,982,0.16003911342894395,2.2809087680652738,8.630235705622836E-4
47,7490,3903,3587,0.47890520694259014,2.2809087680652738,0.0031524089079500114
239,7563,31014,23451,3.1007536691788973,2.2809087680652738,0.020609741092928832
