App ID,Real Duration,Estimated Duration,Error,Error Percentage,Size
app-20150724132028-0391,1137860,650830,487030,42.8,2.28
app-20150724134231-0394,937671,1372298,434627,46.4,4.84
app-20150724140110-0397,2119805,2048592,71213,3.4,7.38
app-20150724143959-0400,3318443,2689029,629414,19.0,9.93
app-20150724153856-0403,4453914,3292032,1161882,26.1,12.47
app-20150724165655-0406,3338873,3865559,526686,15.8,15.01
app-20150724175627-0409,3913650,4413640,499990,12.8,17.56
app-20150724190548-0412,4591750,4941079,349329,7.6,20.12
app-20150724202640-0415,6011664,5477302,534362,8.9,22.83
app-20150724221135-0418,5915002,6019592,104590,1.8,25.67
app-20150724235520-0421,6362825,6545703,182878,2.9,28.51
app-20150725014645-0424,7514761,7060975,453786,6.0,31.34
app-20150725035730-0427,7373761,7570751,196990,2.7,34.17
app-20150725060635-0430,8522695,8079582,443113,5.2,37.0
app-20150725083447-0433,8532639,8592521,59882,0.7,39.82
app-20150725110329-0436,10106212,9115828,990384,9.8,42.65
app-20150725135856-0439,10110233,9653994,456239,4.5,45.48
app-20150725165445-0442,10699129,10209643,489486,4.6,48.31
