Training Perc,Application Size,Duration, EstimatedDuration,Error, RelativeError
0.5,2.28,1137860,797906,339954,29.9,
0.5,4.84,937671,1387875,450204,48.0,
0.5,7.38,2119805,1980739,139066,6.6,
0.5,9.93,3318443,2581369,737074,22.2,
0.5,12.47,4453914,3184812,1269102,28.5,
0.5,15.01,3338873,3795271,456398,13.7,
0.5,17.56,3913650,4413501,499851,12.8,
0.5,20.12,4591750,5041327,449577,9.8,
0.5,22.83,6011664,5712348,299316,5.0,
0.5,25.67,5915002,6422804,507802,8.6,
0.5,28.51,6362825,7139361,776536,12.2,
0.5,31.34,7514761,7862505,347744,4.6,
0.5,34.17,7373761,8592816,1219055,16.5,
0.5,37.0,8522695,9329793,807098,9.5,
0.5,39.82,8532639,10073692,1541053,18.1,
0.5,42.65,10106212,10826548,720336,7.1,
0.5,45.48,10110233,11587759,1477526,14.6,
0.5,48.31,10699129,12354198,1655069,15.5,
0.6,2.28,1137860,630090,507770,44.6,
0.6,4.84,937671,1352154,414483,44.2,
0.6,7.38,2119805,2038792,81013,3.8,
0.6,9.93,3318443,2694604,623839,18.8,
0.6,12.47,4453914,3313135,1140779,25.6,
0.6,15.01,3338873,3897760,558887,16.7,
0.6,17.56,3913650,4447744,534094,13.6,
0.6,20.12,4591750,4962985,371235,8.1,
0.6,22.83,6011664,5465543,546121,9.1,
0.6,25.67,5915002,5943542,28540,0.5,
0.6,28.51,6362825,6369413,6588,0.1,
0.6,31.34,7514761,6742089,772672,10.3,
0.6,34.17,7373761,7060379,313382,4.2,
0.6,37.0,8522695,7322595,1200100,14.1,
0.6,39.82,8532639,7527358,1005281,11.8,
0.6,42.65,10106212,7673504,2432708,24.1,
0.6,45.48,10110233,7791492,2318741,22.9,
0.6,48.31,10699129,7902401,2796728,26.1,
0.7,2.28,1137860,650830,487030,42.8,
0.7,4.84,937671,1372298,434627,46.4,
0.7,7.38,2119805,2048592,71213,3.4,
0.7,9.93,3318443,2689029,629414,19.0,
0.7,12.47,4453914,3292032,1161882,26.1,
0.7,15.01,3338873,3865559,526686,15.8,
0.7,17.56,3913650,4413640,499990,12.8,
0.7,20.12,4591750,4941079,349329,7.6,
0.7,22.83,6011664,5477302,534362,8.9,
0.7,25.67,5915002,6019592,104590,1.8,
0.7,28.51,6362825,6545703,182878,2.9,
0.7,31.34,7514761,7060975,453786,6.0,
0.7,34.17,7373761,7570751,196990,2.7,
0.7,37.0,8522695,8079582,443113,5.2,
0.7,39.82,8532639,8592521,59882,0.7,
0.7,42.65,10106212,9115828,990384,9.8,
0.7,45.48,10110233,9653994,456239,4.5,
0.7,48.31,10699129,10209643,489486,4.6,
0.8,2.28,1137860,751987,385873,33.9,
0.8,4.84,937671,1392990,455319,48.6,
0.8,7.38,2119805,2016240,103565,4.9,
0.8,9.93,3318443,2626938,691505,20.8,
0.8,12.47,4453914,3220121,1233793,27.7,
0.8,15.01,3338873,3800042,461169,13.8,
0.8,17.56,3913650,4367288,453638,11.6,
0.8,20.12,4591750,4923280,331530,7.2,
0.8,22.83,6011664,5495850,515814,8.6,
0.8,25.67,5915002,6078381,163379,2.8,
0.8,28.51,6362825,6642019,279194,4.4,
0.8,31.34,7514761,7187256,327505,4.4,
0.8,34.17,7373761,7714584,340823,4.6,
0.8,37.0,8522695,8223713,298982,3.5,
0.8,39.82,8532639,8714879,182240,2.1,
0.8,42.65,10106212,9189384,916828,9.1,
0.8,45.48,10110233,9646751,463482,4.6,
0.8,48.31,10699129,10085160,613969,5.7,
