Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time,Duration,Executed,
0,count at GraphLoader.scala:93,,1200,1438121637517,1438121876010,238493,True,
4,mapPartitions at VertexRDD.scala:358,,1200,1438121876556,1438122024517,147961,True,
5,mapPartitions at GraphImpl.scala:235,,1200,1438121876616,1438122103352,226736,True,
3,mapPartitions at VertexRDDImpl.scala:247,1 2,1200,1438122103426,1438122229330,125904,True,
6,mapPartitions at VertexRDDImpl.scala:247,5 4,1200,1438122103489,1438122272099,168610,True,
7,mapPartitions at GraphImpl.scala:235,6 3,1200,1438122272159,1438122833901,561742,True,
8,mapPartitions at VertexRDDImpl.scala:247,5 7 4,1200,1438122833939,1438123174879,340940,True,
9,foreachPartition at PageRank.scala:145,6 3 8,1200,1438123175031,1438123911733,736702,True,
18,mapPartitions at GraphImpl.scala:235,15 12 17,1200,1438123913002,1438124036410,123408,True,
19,mapPartitions at VertexRDDImpl.scala:247,16 13 18 14,1200,1438124036444,1438124244841,208397,True,
20,foreachPartition at PageRank.scala:145,15 12 19 17,1200,1438124244864,1438124824911,580047,True,
31,mapPartitions at GraphImpl.scala:235,30 28 26 23,1200,1438124826604,1438124952583,125979,True,
32,mapPartitions at VertexRDDImpl.scala:247,27 31 24 25 29,1200,1438124952622,1438125157083,204461,True,
33,foreachPartition at PageRank.scala:145,30 32 28 26 23,1200,1438125157105,1438125681791,524686,True,
46,mapPartitions at GraphImpl.scala:235,45 39 36 43 41,1200,1438125683901,1438125809200,125299,True,
47,mapPartitions at VertexRDDImpl.scala:247,37 46 38 42 40 44,1200,1438125809234,1438126037153,227919,True,
48,foreachPartition at PageRank.scala:145,45 39 36 43 47 41,1200,1438126037172,1438126528108,490936,True,
63,mapPartitions at GraphImpl.scala:235,51 60 56 54 58 62,1200,1438126530625,1438126673647,143022,True,
64,mapPartitions at VertexRDDImpl.scala:247,63 52 53 57 61 55 59,1200,1438126673676,1438126918155,244479,True,
65,foreachPartition at PageRank.scala:145,51 60 64 56 54 58 62,1200,1438126918175,1438127501918,583743,True,
82,mapPartitions at GraphImpl.scala:235,81 71 68 75 79 73 77,1200,1438127504853,1438127630305,125452,True,
83,mapPartitions at VertexRDDImpl.scala:247,78 70 82 74 72 69 76 80,1200,1438127630332,1438127856276,225944,True,
84,foreachPartition at PageRank.scala:145,81 71 68 83 75 79 73 77,1200,1438127856294,1438128401903,545609,True,
103,mapPartitions at GraphImpl.scala:235,102 96 100 90 87 94 98 92,1200,1438128405368,1438128535881,130513,True,
104,mapPartitions at VertexRDDImpl.scala:247,99 88 103 89 101 93 97 91 95,1200,1438128535907,1438128724565,188658,True,
105,foreachPartition at PageRank.scala:145,102 96 100 104 90 87 94 98 92,1200,1438128724588,1438129170906,446318,True,
126,mapPartitions at GraphImpl.scala:235,117 121 115 125 119 111 108 123 113,1200,1438129174768,1438129323960,149192,True,
127,mapPartitions at VertexRDDImpl.scala:247,114 118 122 126 120 112 109 124 116 110,1200,1438129323988,1438129557316,233328,True,
128,foreachPartition at PageRank.scala:145,117 121 115 125 119 111 108 123 127 113,1200,1438129557335,1438130054240,496905,True,
151,mapPartitions at GraphImpl.scala:235,150 136 140 144 138 148 142 134 131 146,1200,1438130058511,1438130184400,125889,True,
152,mapPartitions at VertexRDDImpl.scala:247,143 135 132 147 139 151 133 137 141 145 149,1200,1438130184425,1438130395683,211258,True,
153,foreachPartition at PageRank.scala:145,150 136 140 152 144 138 148 142 134 131 146,1200,1438130395703,1438130896138,500435,True,
178,mapPartitions at GraphImpl.scala:235,161 171 165 169 173 177 159 156 163 175 167,1200,1438130900810,1438131028009,127199,True,
179,mapPartitions at VertexRDDImpl.scala:247,168 157 172 166 176 158 170 162 174 178 160 164,1200,1438131028034,1438131249908,221874,True,
180,foreachPartition at PageRank.scala:145,179 161 171 165 169 173 177 159 156 163 175 167,1200,1438131249922,1438131654317,404395,True,
207,mapPartitions at GraphImpl.scala:235,204 186 198 183 190 202 194 206 188 192 196 200,1200,1438131659426,1438131788170,128744,True,
208,mapPartitions at VertexRDDImpl.scala:247,197 201 205 187 184 191 203 195 207 189 199 193 185,1200,1438131788194,1438132003569,215375,True,
209,foreachPartition at PageRank.scala:145,204 186 198 183 208 190 202 194 206 188 192 196 200,1200,1438132003589,1438132524696,521107,True,
238,mapPartitions at GraphImpl.scala:235,233 215 212 237 219 223 235 227 221 231 225 217 229,1200,1438132530275,1438132658501,128226,True,
239,mapPartitions at VertexRDDImpl.scala:247,234 220 213 228 214 236 230 222 216 238 224 232 226 218,1200,1438132658523,1438132898251,239728,True,
240,foreachPartition at PageRank.scala:145,233 212 219 235 227 221 229 215 237 223 239 231 225 217,1200,1438132898268,1438133344851,446583,True,
270,saveAsTextFile at pagerankApp.scala:55,269 263 255 249 257 265 244 251 267 259 253 245 261 247,1200,1438133350968,1438133395210,44242,True,
231,mapPartitions at VertexRDDImpl.scala:247,230 222 216 220 224 213 228 214 226 218,1200,0,0,0,False,
232,mapPartitions at GraphImpl.scala:235,215 212 219 223 227 221 231 225 217 229,1200,0,0,0,False,
233,mapPartitions at VertexRDDImpl.scala:247,230 222 216 220 224 213 228 232 214 226 218,1200,0,0,0,False,
34,mapPartitions at GraphImpl.scala:235,,1200,0,0,0,False,
234,mapPartitions at GraphImpl.scala:235,233 215 212 219 223 227 221 231 225 217 229,1200,0,0,0,False,
35,mapPartitions at VertexRDD.scala:358,,1200,0,0,0,False,
235,mapPartitions at VertexRDDImpl.scala:247,230 222 234 216 220 224 213 228 232 214 226 218,1200,0,0,0,False,
36,mapPartitions at VertexRDDImpl.scala:247,34 35,1200,0,0,0,False,
236,mapPartitions at GraphImpl.scala:235,233 215 212 219 223 235 227 221 231 225 217 229,1200,0,0,0,False,
37,mapPartitions at VertexRDD.scala:358,,1200,0,0,0,False,
237,mapPartitions at VertexRDDImpl.scala:247,218 230 222 234 216 220 224 213 228 232 214 226 236,1200,0,0,0,False,
38,mapPartitions at GraphImpl.scala:235,,1200,0,0,0,False,
39,mapPartitions at VertexRDDImpl.scala:247,37 38,1200,0,0,0,False,
40,mapPartitions at GraphImpl.scala:235,39 36,1200,0,0,0,False,
41,mapPartitions at VertexRDDImpl.scala:247,37 38 40,1200,0,0,0,False,
241,mapPartitions at GraphImpl.scala:235,,1200,0,0,0,False,
42,mapPartitions at GraphImpl.scala:235,39 36 41,1200,0,0,0,False,
242,mapPartitions at VertexRDD.scala:358,,1200,0,0,0,False,
243,mapPartitions at VertexRDDImpl.scala:247,241 242,1200,0,0,0,False,
43,mapPartitions at VertexRDDImpl.scala:247,37 38 42 40,1200,0,0,0,False,
44,mapPartitions at GraphImpl.scala:235,39 36 43 41,1200,0,0,0,False,
244,mapPartitions at VertexRDD.scala:358,,1200,0,0,0,False,
45,mapPartitions at VertexRDDImpl.scala:247,37 38 42 40 44,1200,0,0,0,False,
245,mapPartitions at GraphImpl.scala:235,,1200,0,0,0,False,
246,mapPartitions at VertexRDDImpl.scala:247,245 244,1200,0,0,0,False,
247,mapPartitions at GraphImpl.scala:235,246 243,1200,0,0,0,False,
248,mapPartitions at VertexRDDImpl.scala:247,245 247 244,1200,0,0,0,False,
49,mapPartitions at GraphImpl.scala:235,,1200,0,0,0,False,
249,mapPartitions at GraphImpl.scala:235,248 246 243,1200,0,0,0,False,
50,mapPartitions at VertexRDD.scala:358,,1200,0,0,0,False,
250,mapPartitions at VertexRDDImpl.scala:247,249 245 247 244,1200,0,0,0,False,
51,mapPartitions at VertexRDDImpl.scala:247,49 50,1200,0,0,0,False,
251,mapPartitions at GraphImpl.scala:235,248 246 243 250,1200,0,0,0,False,
52,mapPartitions at VertexRDD.scala:358,,1200,0,0,0,False,
252,mapPartitions at VertexRDDImpl.scala:247,251 249 245 247 244,1200,0,0,0,False,
53,mapPartitions at GraphImpl.scala:235,,1200,0,0,0,False,
253,mapPartitions at GraphImpl.scala:235,248 252 246 243 250,1200,0,0,0,False,
254,mapPartitions at VertexRDDImpl.scala:247,251 249 253 245 247 244,1200,0,0,0,False,
54,mapPartitions at VertexRDDImpl.scala:247,52 53,1200,0,0,0,False,
255,mapPartitions at GraphImpl.scala:235,248 252 246 243 250 254,1200,0,0,0,False,
55,mapPartitions at GraphImpl.scala:235,51 54,1200,0,0,0,False,
56,mapPartitions at VertexRDDImpl.scala:247,52 53 55,1200,0,0,0,False,
256,mapPartitions at VertexRDDImpl.scala:247,251 255 249 253 245 247 244,1200,0,0,0,False,
57,mapPartitions at GraphImpl.scala:235,51 56 54,1200,0,0,0,False,
257,mapPartitions at GraphImpl.scala:235,248 252 256 246 243 250 254,1200,0,0,0,False,
58,mapPartitions at VertexRDDImpl.scala:247,52 53 57 55,1200,0,0,0,False,
258,mapPartitions at VertexRDDImpl.scala:247,251 255 249 253 245 257 247 244,1200,0,0,0,False,
59,mapPartitions at GraphImpl.scala:235,51 56 54 58,1200,0,0,0,False,
259,mapPartitions at GraphImpl.scala:235,248 252 256 246 243 258 250 254,1200,0,0,0,False,
60,mapPartitions at VertexRDDImpl.scala:247,52 53 57 55 59,1200,0,0,0,False,
260,mapPartitions at VertexRDDImpl.scala:247,251 255 249 259 253 245 257 247 244,1200,0,0,0,False,
61,mapPartitions at GraphImpl.scala:235,51 60 56 54 58,1200,0,0,0,False,
261,mapPartitions at GraphImpl.scala:235,248 252 256 260 246 243 258 250 254,1200,0,0,0,False,
62,mapPartitions at VertexRDDImpl.scala:247,52 53 57 61 55 59,1200,0,0,0,False,
262,mapPartitions at VertexRDDImpl.scala:247,251 255 249 259 253 245 257 261 247 244,1200,0,0,0,False,
263,mapPartitions at GraphImpl.scala:235,248 252 256 260 246 243 258 250 262 254,1200,0,0,0,False,
264,mapPartitions at VertexRDDImpl.scala:247,251 263 255 249 259 253 245 257 261 247 244,1200,0,0,0,False,
265,mapPartitions at GraphImpl.scala:235,248 252 256 260 264 246 258 243 250 262 254,1200,0,0,0,False,
66,mapPartitions at GraphImpl.scala:235,,1200,0,0,0,False,
266,mapPartitions at VertexRDDImpl.scala:247,251 263 255 249 259 253 245 257 261 265 247 244,1200,0,0,0,False,
67,mapPartitions at VertexRDD.scala:358,,1200,0,0,0,False,
267,mapPartitions at GraphImpl.scala:235,266 248 252 256 260 264 246 258 243 250 262 254,1200,0,0,0,False,
68,mapPartitions at VertexRDDImpl.scala:247,66 67,1200,0,0,0,False,
268,mapPartitions at VertexRDDImpl.scala:247,251 263 255 267 249 259 253 245 257 261 265 247 244,1200,0,0,0,False,
69,mapPartitions at VertexRDD.scala:358,,1200,0,0,0,False,
269,mapPartitions at GraphImpl.scala:235,266 248 252 256 260 264 246 258 243 268 250 262 254,1200,0,0,0,False,
70,mapPartitions at GraphImpl.scala:235,,1200,0,0,0,False,
71,mapPartitions at VertexRDDImpl.scala:247,70 69,1200,0,0,0,False,
72,mapPartitions at GraphImpl.scala:235,71 68,1200,0,0,0,False,
73,mapPartitions at VertexRDDImpl.scala:247,70 72 69,1200,0,0,0,False,
74,mapPartitions at GraphImpl.scala:235,71 68 73,1200,0,0,0,False,
75,mapPartitions at VertexRDDImpl.scala:247,70 74 72 69,1200,0,0,0,False,
76,mapPartitions at GraphImpl.scala:235,71 68 75 73,1200,0,0,0,False,
77,mapPartitions at VertexRDDImpl.scala:247,70 74 72 69 76,1200,0,0,0,False,
78,mapPartitions at GraphImpl.scala:235,71 68 75 73 77,1200,0,0,0,False,
79,mapPartitions at VertexRDDImpl.scala:247,78 70 74 72 69 76,1200,0,0,0,False,
80,mapPartitions at GraphImpl.scala:235,71 68 75 79 73 77,1200,0,0,0,False,
81,mapPartitions at VertexRDDImpl.scala:247,78 70 74 72 69 76 80,1200,0,0,0,False,
85,mapPartitions at GraphImpl.scala:235,,1200,0,0,0,False,
86,mapPartitions at VertexRDD.scala:358,,1200,0,0,0,False,
87,mapPartitions at VertexRDDImpl.scala:247,85 86,1200,0,0,0,False,
88,mapPartitions at VertexRDD.scala:358,,1200,0,0,0,False,
89,mapPartitions at GraphImpl.scala:235,,1200,0,0,0,False,
90,mapPartitions at VertexRDDImpl.scala:247,88 89,1200,0,0,0,False,
91,mapPartitions at GraphImpl.scala:235,90 87,1200,0,0,0,False,
92,mapPartitions at VertexRDDImpl.scala:247,88 89 91,1200,0,0,0,False,
93,mapPartitions at GraphImpl.scala:235,90 87 92,1200,0,0,0,False,
94,mapPartitions at VertexRDDImpl.scala:247,88 89 93 91,1200,0,0,0,False,
95,mapPartitions at GraphImpl.scala:235,90 87 94 92,1200,0,0,0,False,
96,mapPartitions at VertexRDDImpl.scala:247,88 89 93 91 95,1200,0,0,0,False,
97,mapPartitions at GraphImpl.scala:235,96 90 87 94 92,1200,0,0,0,False,
98,mapPartitions at VertexRDDImpl.scala:247,88 89 93 97 91 95,1200,0,0,0,False,
99,mapPartitions at GraphImpl.scala:235,96 90 87 94 98 92,1200,0,0,0,False,
100,mapPartitions at VertexRDDImpl.scala:247,99 88 89 93 97 91 95,1200,0,0,0,False,
101,mapPartitions at GraphImpl.scala:235,96 100 90 87 94 98 92,1200,0,0,0,False,
102,mapPartitions at VertexRDDImpl.scala:247,99 88 89 101 93 97 91 95,1200,0,0,0,False,
106,mapPartitions at GraphImpl.scala:235,,1200,0,0,0,False,
107,mapPartitions at VertexRDD.scala:358,,1200,0,0,0,False,
108,mapPartitions at VertexRDDImpl.scala:247,107 106,1200,0,0,0,False,
109,mapPartitions at VertexRDD.scala:358,,1200,0,0,0,False,
110,mapPartitions at GraphImpl.scala:235,,1200,0,0,0,False,
111,mapPartitions at VertexRDDImpl.scala:247,109 110,1200,0,0,0,False,
112,mapPartitions at GraphImpl.scala:235,111 108,1200,0,0,0,False,
113,mapPartitions at VertexRDDImpl.scala:247,112 109 110,1200,0,0,0,False,
114,mapPartitions at GraphImpl.scala:235,111 108 113,1200,0,0,0,False,
115,mapPartitions at VertexRDDImpl.scala:247,114 112 109 110,1200,0,0,0,False,
116,mapPartitions at GraphImpl.scala:235,115 111 108 113,1200,0,0,0,False,
117,mapPartitions at VertexRDDImpl.scala:247,114 112 109 116 110,1200,0,0,0,False,
118,mapPartitions at GraphImpl.scala:235,117 115 111 108 113,1200,0,0,0,False,
119,mapPartitions at VertexRDDImpl.scala:247,114 118 112 109 116 110,1200,0,0,0,False,
120,mapPartitions at GraphImpl.scala:235,117 115 119 111 108 113,1200,0,0,0,False,
121,mapPartitions at VertexRDDImpl.scala:247,114 118 120 112 109 116 110,1200,0,0,0,False,
122,mapPartitions at GraphImpl.scala:235,117 121 115 119 111 108 113,1200,0,0,0,False,
123,mapPartitions at VertexRDDImpl.scala:247,114 118 122 120 112 109 116 110,1200,0,0,0,False,
124,mapPartitions at GraphImpl.scala:235,117 121 115 119 111 108 123 113,1200,0,0,0,False,
125,mapPartitions at VertexRDDImpl.scala:247,114 118 122 120 112 109 124 116 110,1200,0,0,0,False,
129,mapPartitions at GraphImpl.scala:235,,1200,0,0,0,False,
130,mapPartitions at VertexRDD.scala:358,,1200,0,0,0,False,
131,mapPartitions at VertexRDDImpl.scala:247,129 130,1200,0,0,0,False,
132,mapPartitions at VertexRDD.scala:358,,1200,0,0,0,False,
133,mapPartitions at GraphImpl.scala:235,,1200,0,0,0,False,
